type	ID	rowID	diff
N	69ce334f-3177-4697-b74c-835bc516c0be	-1	2
F1	af23b843-76ac-4222-bf2a-917a83cfb558	-1	2
N	2bfbe7d7-d0c8-4c6d-9df8-a2a1eaa99877	-1	3
N	c7691e38-e2f9-451a-a6aa-07b08e43bdbd	-1	7
N	82de9844-6356-4c55-b698-46917b2fad47	0	2
N	af9da618-8ac8-443a-9dc9-2e022d46e6a1	-1	0
N	91d96472-ab48-409f-baf8-58530463b5b0	-1	2
N	2cad8114-ac0e-43c5-b026-4ff9283237b7	-1	1
N	d94d4e70-a1ca-4099-b380-466d1266be34	-1	1
N	a83455ae-88d3-47e1-924b-d0f039522fb0	-1	5
N	419d2180-6a9f-4634-9c76-0c9a35d569fc	-1	0
N	9261b810-a8a2-4d2f-b3ba-bcc09797ee9c	-1	0
N	e53cd095-978a-42fe-902f-629fb5774f3b	-1	1
N	22645ee1-db61-4441-8d02-2e5befcea9c9	-1	1
F1	05fb0f1f-797a-4cf7-9931-ba93c49a8eda	-1	2
N	8e6bea69-40e7-46a1-a326-a9cdd87cb6a0_1	-1	6
N	416c8e73-9e1d-44ab-8e5b-96961b8b13c2	-1	2
N	c60fcb49-c33a-448b-817c-41c5b447f0ab	-1	3
N	76c87751-d8f3-4fdc-bc1a-8b0af3e77927	-1	5
N	56d4089e-03b4-424b-b5a3-d3db0b9e12ac_1	-1	2
N	df0832c7-f86d-4f05-8ec2-7a99722592b0	-1	2
F1	bf03220c-8f6c-4421-b94e-3f880ed63df5	-1	2
N	09855517-f999-48e6-a60d-fe81998e75ce_1	-1	5
N	f072fa53-9ae2-4ddd-8986-1021b53b2f85	-1	1
N	a8c8a7ee-9fb8-478b-9159-ec05ee47bdf1_1	-1	0
N	b4e197fd-7823-4068-8391-c69e37e3f38a	-1	2
N	53697f06-7bcb-46c7-8e24-1ee5a46da6a3	-1	3
N	d03940d8-1c02-40fb-b527-b0b1833e319e	-1	7
N	458faa52-147f-409d-83c4-f82cf217933d	-1	0
N	d5d4f434-ff76-47d2-9117-69f7d6874192	-1	1
N	577e3edc-27f1-45c1-8ec2-4fda2fa427fc	-1	3
F1	2516c18c-76de-4997-bff9-ee37b654063c_1	-1	3
F1	11f33441-b5eb-43c8-85dc-b13f44653404	-1	2
N	4773c347-ef0e-4ba6-8f5c-4b6ed0f9c378	-1	1
N	b5e1aa0a-e91b-4273-950c-944a2f1b65ac_1	-1	2
N	3b1f956c-98ea-4fa7-9795-d4dd6fac811c	-1	2
N	f03ce32b-5fb1-4c03-8a79-00f49ad6d6f3_1	-1	2
N	1043e06c-eac5-4c2e-93ce-0af60f2f3155	-1	3
N	68c1cf62-7698-43d0-81ac-59d4548394f4	-1	16
N	76cc8954-b650-4ec5-afdc-275795aed897_1	-1	1
F1	f8576300-283c-4f37-954e-25c9d97521cb	-1	1
N	e6f16b9d-9e9a-4636-8749-f6a7162e571e	-1	0
