	0
a6832f96-3bda-4fa4-893e-bbd3fafc0137	1592
22de3390-67be-49e4-8cbd-95a405f4f577	1476
84f8a07a-e4e5-49c5-9a86-4d1222d705fe	1328
7f5e3109-f5f4-4de9-a3e4-a5221756df2d	1464
5688dea0-e3f8-4550-aef4-f6808a3ad519	1189
23fe712e-1681-4f45-8bf5-003c07b2cb8e	1738
73a215f4-1b6c-40f1-944b-d799c5d3a1e4	1566
f4ee8915-62b2-4361-a6aa-c87cc3127a4f	1405
a7933b8c-c4fa-4a44-b5d7-189763d06b08	1192
c83f4599-cb3e-4fe7-aea4-20cff425d7e6	1101
a55e1136-8c25-4f12-964b-29ca71f4f756	978
0d0a4270-ee99-49c8-a03e-78ef1ed29006	1490
d2c28187-8e3a-4a6d-9c26-061c46a568e5	1607
67a333a2-0c25-4453-bcdf-12aa376666a7	1041
6496de92-cfbd-4247-89c4-1ccd74d7fdfd	1201
51dc30b9-f305-482e-90b0-45025bfcb7d0	1459
ec26e06d-3dd1-4668-864c-902f12b38377	1091
a713503b-2e3f-4442-9827-21132503d35b	1737
fe9a945e-b7df-4587-83bc-2e5f5b9384ef	1161
baa9fd2f-ae43-4474-9a95-ad6ce0495b33	833
1e89874d-5316-4a11-ba86-04fc13b7067b	1387
0a05a51d-1f8a-479c-9454-f86ad82879ea	658
4fa1772a-5730-4639-bab7-a7114379e6ab	1167
c5a4e457-a69e-4210-92bd-dd053f22f8cd	2305
5ba78559-e0e8-4a38-a7d0-b40236f94bd6	1434
ebdb6f71-c674-4681-9891-8f45eb4a4d17	1531
1a380b34-c878-4329-a598-2f392231fb5c	796
2ccb84a0-a713-4c7c-89a3-99016d7e36fc	1636
6dad2b58-8632-4ce9-b20a-c78c37fa1e61	1498
7d95a6cb-71ff-4e2f-9a07-dbaa8abd695d	1587
fdb67838-1e6e-4dea-81d4-c27a67822f39	1311
58c450e2-20d6-4fc0-b0a9-4675e65ba8eb	1685
0556d6d1-cbf5-4281-bc9c-c1a75e6ba209	1323
1082a14a-5c58-4e20-bf1b-06b92114e530	736
12e23a92-3ab2-48be-8d7d-ccb9e2445d9b	694
cbee65ae-4fe6-46ba-a920-8f7eb7e03b10	1288
7fdf87b8-71da-4a12-a43a-61a3199f2435	692
bdbe8eb6-a24b-442b-8161-d409013fe38f	2395
21e01ce9-96bd-4d7a-be3e-66449d02c1e5	923
64e63cae-7c85-4224-9e96-dd6223db20d1	1856
7362db6c-9410-4eed-9975-4871cff72978	1134
29a8cedf-f8e4-4e62-8b4d-e94b4a9d391a	1497
05309b00-501f-48cf-85fd-642d4e00a07a	628
0a8b9c20-01bb-4edf-ba35-821ffe02c46c	1196
be819961-1cc9-4190-837c-f7e916fe8d5e	1969
fa48ece2-c1c1-4635-865c-fc19a4662e7f	1617
4d3f39e0-a55d-49cd-a0dc-f1919936bf0a	2127
0d0fd25a-5a9c-4118-9f12-2a39b52f8054	1861
470d115e-6c61-472e-80a3-06e7650e4ab6	721
8e184d9d-d77f-4ca1-81b1-e7c2be3c7f6b	1805
fa166552-b181-452c-811f-e7d9950d63eb	1041
94b831ba-3f20-4007-be7d-4ca5f8c49464	1207
6c21883c-1495-404f-9959-0c15d3186248	1372
fb655590-696e-4c70-b58c-aff7593e232e	1364
75460ab6-0336-432d-8f6a-def086f1a298	1138
9304c747-3333-43cd-b97d-cdbecb4754cf	1711
de0298a3-2d65-4dfc-908c-8003c4e2ff91	1296
8358d2cd-f339-4cf2-a6e7-f8e81cdb1e7c	1322
f25f4b03-c860-4306-becd-5c1adc12550d	750
b0b917ac-d208-4d4b-9781-902cdb7c2f68	2465
a2ee8d1f-ebe8-41ac-9bda-f1a391395fc6	1147
a1c434ff-d0ca-4222-bdd6-e77ccd0a2811	1098
0c7269e0-1c77-4622-af6f-70e56a9bfa2c	1086
